Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
IBND,SPDR Series Trust - SPDR Bloomberg Barclays International Corporate Bond ETF,97,USD,33.48,33.52,-0.27,-4.95,4140.52530731789,-0.12
IFP,Interfor Corporation,275,CAD,35.12,37.47,-2.00,-646.25,9658,-6.27
IGIB,BlackRock Institutional Trust Company N.A. - iShares Trust iShares 5-10 Year Investment Grade Corpo,56,USD,57.09,57.74,-0.36,-46.41,4076.11407595475,-1.13
ITM,,647,GBP,2.534,2.35,-0.01,205.41,2828.80644550679,7.83
LQDI,BlackRock Institutional Trust Company N.A. - iShares Inflation Hedged Corporate Bond ETF,111,USD,28.69,29.36,-0.29,-94.82,4060.2407618124,-2.28
LTPZ,Pimco Exchange Traded Fund - PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,38,USD,81.78,85.46,-1.05,-178.29,3962.1322057278,-4.31
MFI,MAPLE LEAF FOODS INC,357,CAD,30.54,29.33,-0.11,431.97,10902.78,4.13
MRE,MARTINREA INTL' INC,1030,CAD,10.22,10.16,0.04,61.80,10526.6,0.59
NOG,"Northern Oil & Gas, Inc.",450,USD,24.56,22.9,0.08,952.40,14090.9130844318,7.25
NVX,NOVONIX Ltd,417,AUD,6.74,7.23,0.14,-184.47,2537.36340782022,-6.78
ORA,Orange S.A.,180,EUR,10.486,10.42,0.02,17.35,2756.81699104041,0.63
PAH3,PORSCHE AUTOHLDG ,23,EUR,79.6,82.38,-1.22,-93.39,2674.0312730184,-3.37
PEGA,Pegasystems Inc.,88,USD,97.88,93.92,0.44,444.30,10981.8344551184,4.22
PFE,Pfizer Inc.,200,USD,53,54.49,-0.38,-379.94,13514.6289083403,-2.73
QNST,QuinStreet Inc,519,USD,15.43,15.39,0.15,26.47,10210.1363948022,0.26
RIVN, Rivian Automotive Inc. Class A Common Stock,149,USD,60.87,54.47,0.51,"1,215.81",11563.4607345236,11.75
SCR,SCOR SE,63,EUR,29.95,30.12,0.13,-15.64,2755.89682515555,-0.56
SHOP,Shopify Inc,9,CAD,1118.24,1147.92,90.50,-267.12,10064.16,-2.59
SKX,SKECHERS USA Inc.,98,USD,44.43,40.02,2.73,551.01,5551.37606744914,11.02
SLF,SUN LIFE FINANCIAL INC,149,CAD,72.89,69.87,0.21,449.98,10860.61,4.32
SQ,Square Inc - Ordinary Shares - Class A,76,USD,108.87,108.48,7.37,37.79,10549.2133342525,0.36
TKA,THYSSENKRUPP ,212,EUR,8.926,9.102,-0.13,-54.50,2763.8745173192,-1.93
TLX,Talanx Ag Na O.N.,44,EUR,42.3,42.84,-0.26,-34.70,2718.43292841482,-1.26
TUP,Tupperware Brands Corporation,561,USD,15.26,14.39,0.11,622.27,10914.796795873,6.05
VAB,Vanguard Canadian Aggregate Bond Index ETF,166,CAD,24.85,25.02,-0.10,-28.22,4125.1,-0.68
VGV,Vanguard Canadian Government Bond Index ETF,168,CAD,24.62,24.82,-0.11,-33.60,4136.16,-0.81
WCC,WESCO International Inc.,67,USD,119.55,115.94,-2.63,308.38,10212.2783359877,3.11
WELL,Wellness Lifestyles Inc.,2367,CAD,4.61,4.38,0.07,544.41,10911.87,5.25
WLN,Worldline SA,44,EUR,42.51,42.685,-0.26,-11.25,2731.9286947261,-0.41
ZAG,BMO Aggregate Bond Index ETF,273,CAD,15.1,15.21,-0.06,-30.03,4122.3,-0.72
ZAL,Zalando Se,28,EUR,66.88,69.8,0.50,-119.42,2735.14197241926,-4.18
